Distance 81207.74 m, after 179 s.
Distance 80947.45 m, after 180 s.
Distance 80687.82 m, after 181 s.
Distance 80428.84 m, after 182 s.
Distance 80170.51 m, after 183 s.
Distance 79912.82 m, after 184 s.
Distance 79655.77 m, after 185 s.
Distance 79399.36 m, after 186 s.
Distance 79143.59 m, after 187 s.
Distance 78888.45 m, after 188 s.
Distance 78633.94 m, after 189 s.
Distance 78380.06 m, after 190 s.
Distance 78126.81 m, after 191 s.
Distance 77874.18 m, after 192 s.
Distance 77622.17 m, after 193 s.
Distance 77370.78 m, after 194 s.
Distance 77120.01 m, after 195 s.
Distance 76869.85 m, after 196 s.
Distance 76620.3 m, after 197 s.
Distance 76371.36 m, after 198 s.
Distance 76123.03 m, after 199 s.
Distance 75875.29 m, after 200 s.
Distance 75628.16 m, after 201 s.
Distance 75381.63 m, after 202 s.
Distance 75135.68 m, after 203 s.
Distance 74890.34 m, after 204 s.
Distance 74645.58 m, after 205 s.
Distance 74401.4 m, after 206 s.
Distance 74157.81 m, after 207 s.
Distance 73914.8 m, after 208 s.
Distance 73672.37 m, after 209 s.
Distance 73430.51 m, after 210 s.
Distance 73189.23 m, after 211 s.
Distance 72948.52 m, after 212 s.
Distance 72708.37 m, after 213 s.
Distance 72468.78 m, after 214 s.
Distance 72229.76 m, after 215 s.
Distance 71991.29 m, after 216 s.
Distance 71753.38 m, after 217 s.
Distance 71516.03 m, after 218 s.
Distance 71279.22 m, after 219 s.
Distance 71042.95 m, after 220 s.
Distance 70807.24 m, after 221 s.
Distance 70572.06 m, after 222 s.
Distance 70337.42 m, after 223 s.
Distance 70103.31 m, after 224 s.
Distance 69869.74 m, after 225 s.
Distance 69636.69 m, after 226 s.
Distance 69404.17 m, after 227 s.
Distance 69172.17 m, after 228 s.
Distance 68940.69 m, after 229 s.
Distance 68709.73 m, after 230 s.
Distance 68479.28 m, after 231 s.
Distance 68249.34 m, after 232 s.
Distance 68019.91 m, after 233 s.
Distance 67790.98 m, after 234 s.
Distance 67562.56 m, after 235 s.
Distance 67334.63 m, after 236 s.
Distance 67107.2 m, after 237 s.
Distance 66880.26 m, after 238 s.
Distance 66653.81 m, after 239 s.
Distance 66427.84 m, after 240 s.
Distance 66202.36 m, after 241 s.
Distance 65977.36 m, after 242 s.
Distance 65752.83 m, after 243 s.
Distance 65528.78 m, after 244 s.
Distance 65305.19 m, after 245 s.
Distance 65082.07 m, after 246 s.
Distance 64859.42 m, after 247 s.
Distance 64637.23 m, after 248 s.
Distance 64415.49 m, after 249 s.
Distance 64194.21 m, after 250 s.
Distance 63973.38 m, after 251 s.
Distance 63753 m, after 252 s.
Distance 63533.06 m, after 253 s.
Distance 63313.56 m, after 254 s.
Distance 63094.5 m, after 255 s.
Distance 62875.88 m, after 256 s.
Distance 62657.69 m, after 257 s.
Distance 62439.92 m, after 258 s.
Distance 62222.58 m, after 259 s.
Distance 62005.67 m, after 260 s.
Distance 61789.17 m, after 261 s.
Distance 61573.09 m, after 262 s.
Distance 61357.42 m, after 263 s.
Distance 61142.15 m, after 264 s.
Distance 60927.3 m, after 265 s.
Distance 60712.84 m, after 266 s.
Distance 60498.79 m, after 267 s.
Distance 60285.13 m, after 268 s.
Distance 60071.86 m, after 269 s.
Distance 59858.99 m, after 270 s.
Distance 59646.5 m, after 271 s.
Distance 59434.39 m, after 272 s.
Distance 59222.66 m, after 273 s.
Distance 59011.3 m, after 274 s.
Distance 58800.32 m, after 275 s.
Distance 58589.71 m, after 276 s.
Distance 58379.47 m, after 277 s.
Distance 58169.59 m, after 278 s.
Distance 57960.07 m, after 279 s.
Distance 57750.9 m, after 280 s.
Distance 57542.09 m, after 281 s.
Distance 57333.62 m, after 282 s.
Distance 57125.51 m, after 283 s.
Distance 56917.73 m, after 284 s.
Distance 56710.3 m, after 285 s.
Distance 56503.2 m, after 286 s.
Distance 56296.44 m, after 287 s.
Distance 56090 m, after 288 s.
Distance 55883.89 m, after 289 s.
Distance 55678.11 m, after 290 s.
Distance 55472.64 m, after 291 s.
Distance 55267.5 m, after 292 s.
Distance 55062.66 m, after 293 s.
Distance 54858.14 m, after 294 s.
Distance 54653.92 m, after 295 s.
Distance 54450 m, after 296 s.
Distance 54246.39 m, after 297 s.
Distance 54043.07 m, after 298 s.
Distance 53840.05 m, after 299 s.
Distance 53637.32 m, after 300 s.
Distance 53434.87 m, after 301 s.
Distance 53232.71 m, after 302 s.
Distance 53030.83 m, after 303 s.
Distance 52829.22 m, after 304 s.
Distance 52627.89 m, after 305 s.
Distance 52426.83 m, after 306 s.
Distance 52226.04 m, after 307 s.
Distance 52025.51 m, after 308 s.
Distance 51825.24 m, after 309 s.
Distance 51625.23 m, after 310 s.
Distance 51425.48 m, after 311 s.
Distance 51225.97 m, after 312 s.
Distance 51026.72 m, after 313 s.
Distance 50827.71 m, after 314 s.
Distance 50628.94 m, after 315 s.
Distance 50430.41 m, after 316 s.
Distance 50232.11 m, after 317 s.
Distance 50034.05 m, after 318 s.
Distance 49836.22 m, after 319 s.
Distance 49638.61 m, after 320 s.
Distance 49441.22 m, after 321 s.
Distance 49244.06 m, after 322 s.
Distance 49047.11 m, after 323 s.
Distance 48850.37 m, after 324 s.
Distance 48653.84 m, after 325 s.
Distance 48457.52 m, after 326 s.
Distance 48261.41 m, after 327 s.
Distance 48065.49 m, after 328 s.
Distance 47869.77 m, after 329 s.
Distance 47674.25 m, after 330 s.
Distance 47478.92 m, after 331 s.
Distance 47283.77 m, after 332 s.
Distance 47088.82 m, after 333 s.
Distance 46894.04 m, after 334 s.
Distance 46699.44 m, after 335 s.
Distance 46505.02 m, after 336 s.
Distance 46310.77 m, after 337 s.
Distance 46116.7 m, after 338 s.
Distance 45922.79 m, after 339 s.
Distance 45729.04 m, after 340 s.
Distance 45535.45 m, after 341 s.
